Url,Start,Stop
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426147,1539706426193
http://35.198.69.85/tools.descartes.teastore.webui/,1539706424638,1539706426216
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426217,1539706426277
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706424535,1539706426337
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706421519,1539706426409
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706424882,1539706426411
http://35.198.69.85/tools.descartes.teastore.webui/,1539706424647,1539706426421
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706425242,1539706426422
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706425458,1539706426425
http://35.198.69.85/tools.descartes.teastore.webui/,1539706424396,1539706426429
http://35.198.69.85/tools.descartes.teastore.webui/,1539706426417,1539706426459
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706426409,1539706426512
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426459,1539706426537
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426421,1539706426639
http://35.198.69.85/tools.descartes.teastore.webui/,1539706426310,1539706426643
http://35.198.69.85/tools.descartes.teastore.webui/,1539706426572,1539706426652
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426652,1539706426688
http://35.198.69.85/tools.descartes.teastore.webui/,1539706426581,1539706426692
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706426512,1539706426728
http://35.198.69.85/tools.descartes.teastore.webui/,1539706424525,1539706426909
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426909,1539706426931
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706426422,1539706427084
http://35.198.69.85/tools.descartes.teastore.webui/,1539706424701,1539706427109
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426643,1539706427203
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706426729,1539706427220
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706427085,1539706427435
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706427244,1539706427462
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706423691,1539706427548
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706425529,1539706427553
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426429,1539706427605
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4,1539706427548,1539706427885
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706425359,1539706427973
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706427109,1539706428009
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706424531,1539706428027
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706428027,1539706428297
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706426537,1539706428336
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706428298,1539706428431
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706428336,1539706428448
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706426639,1539706428508
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4,1539706427220,1539706428529
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706426337,1539706428543
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706427973,1539706428576
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706428009,1539706428582
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706428449,1539706428600
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706428508,1539706428632
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706428582,1539706428708
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706428577,1539706428766
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706428709,1539706428874
http://35.198.69.85/tools.descartes.teastore.webui/,1539706425448,1539706428889
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706428889,1539706428918
http://35.198.69.85/tools.descartes.teastore.webui/category?page=3&category=4,1539706428530,1539706428924
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706427436,1539706429005
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706426931,1539706429037
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706426277,1539706429086
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706427553,1539706429086
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706428918,1539706429119
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706426411,1539706429124
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706427605,1539706429149
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706429037,1539706429240
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706426688,1539706429247
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706429086,1539706429248
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706429086,1539706429315
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706429149,1539706429360
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706429119,1539706429377
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706428600,1539706429387
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4,1539706429005,1539706429387
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706429124,1539706429394
http://35.198.69.85/tools.descartes.teastore.webui/category?page=3&category=4,1539706429388,1539706429541
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4&number=30,1539706429247,1539706429542
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706428794,1539706429549
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4,1539706429387,1539706429634
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706429315,1539706429681
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706429395,1539706429820
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=59,1539706425409,1539706429824
http://35.198.69.85/tools.descartes.teastore.webui/,1539706429671,1539706429863
http://35.198.69.85/tools.descartes.teastore.webui/category?page=1&category=4,1539706429549,1539706429871
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706429248,1539706429876
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706426692,1539706429883
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706429361,1539706429951
http://35.198.69.85/tools.descartes.teastore.webui/login,1539706429863,1539706429979
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706429883,1539706430011
http://35.198.69.85/tools.descartes.teastore.webui/loginAction?username=user19&password=password,1539706426425,1539706430048
http://35.198.69.85/tools.descartes.teastore.webui/product?id=59,1539706429378,1539706430083
http://35.198.69.85/tools.descartes.teastore.webui/category?page=3&category=4,1539706429872,1539706430174
http://35.198.69.85/tools.descartes.teastore.webui/cartAction?addToCart=&productid=263,1539706429541,1539706430233
